    55 -0.1418635D-02  0.3096139D-04  0.3209589D-02
    56  0.1308209D-03  0.4173373D-03  0.2921860D-02
    57  0.1702018D-03 -0.1590895D-02  0.3162667D-02
    58  0.1932578D-02  0.9833439D-03  0.3604019D-02
    59  0.1203630D-02 -0.1992039D-03  0.3298570D-02
    60  0.1076309D-03  0.2498314D-02  0.1734268D-02
    61  0.2074183D-02 -0.8783912D-03  0.2573101D-02
    62  0.2147672D-02 -0.4723256D-03  0.2646766D-02
    63  0.3555573D-02  0.2623020D-03  0.3394194D-02
    64  0.2199670D-02  0.9768461D-03  0.2469741D-02
     1 -0.1537686D-02 -0.1204205D-02 -0.2540715D-02
     2 -0.2110217D-02  0.1512303D-02 -0.1989309D-02
     3 -0.1849674D-02 -0.9509903D-03 -0.2661291D-02
     4 -0.2098163D-02 -0.4194736D-03 -0.3010419D-02
     5  0.1324589D-03 -0.2318586D-03 -0.2427646D-02
     6 -0.2621765D-02  0.1141732D-02 -0.2474530D-02
     7 -0.2662583D-02 -0.1054131D-02 -0.2987162D-02
     8 -0.2305738D-03  0.2400261D-02 -0.2584433D-02
     9  0.2005414D-04 -0.2269877D-02 -0.1007120D-02
    10  0.1321389D-02  0.1613601D-02 -0.2774847D-02
    11  0.3499577D-02  0.6384123D-03 -0.2631783D-02
    12  0.2750095D-02 -0.1233493D-02 -0.2582832D-02
    13  0.2876149D-02  0.8274738D-03 -0.1325774D-02
    14  0.2247016D-02 -0.7030427D-03 -0.1908134D-02
    15  0.1777478D-02  0.1837499D-03 -0.2536905D-02
    16  0.1156255D-02  0.1567230D-02 -0.5472893D-03
    17 -0.1920845D-02  0.7680579D-03 -0.2794731D-02
    18 -0.2368659D-02  0.7735291D-03 -0.2560196D-02
    19 -0.2181182D-02 -0.7537705D-03 -0.2481536D-02
    20 -0.2066983D-02  0.6757735D-03 -0.1582113D-02
    21 -0.6464639D-03 -0.3262387D-02 -0.5903941D-04
    22 -0.2049402D-02  0.9528093D-03 -0.1516092D-02
    23 -0.3612015D-02  0.6540917D-03 -0.3176513D-02
    24 -0.2960887D-02 -0.7253102D-03 -0.1205767D-02
    25  0.1532145D-02 -0.1183126D-02 -0.7701199D-03
    26  0.2997224D-02  0.3414198D-03 -0.2915734D-02
    27  0.3771819D-02 -0.1256997D-02 -0.4066726D-02
    28  0.5449516D-03  0.1813047D-02 -0.1616862D-02
    29  0.1549530D-02 -0.3025494D-02 -0.3944658D-03
    30  0.2926782D-02  0.1280705D-02 -0.1351978D-02
    31  0.2582636D-02 -0.1154362D-02 -0.1176485D-02
    32  0.2017915D-02  0.1106978D-02 -0.2632023D-02
    33 -0.2654984D-02 -0.1976085D-02  0.1812687D-02
    34 -0.1952953D-02 -0.9270226D-03  0.2241132D-02
    35 -0.2346332D-02  0.6263372D-03  0.1382249D-02
    36 -0.2500891D-02  0.4677972D-03  0.8341734D-03
    37 -0.2667172D-02 -0.7859027D-03  0.1191914D-02
